1.000000000000000048e-04 4.703015871332959250e+02
1.005775959301633530e-04 4.729104746548770208e+02
1.011585280309121223e-04 4.755338189326907923e+02
1.017428155718318330e-04 4.781716999134298476e+02
1.023304779338083379e-04 4.808241979728743445e+02
1.029215346096707274e-04 4.834913938986763355e+02
1.035160052048378658e-04 4.861733689180680926e+02
1.041139094379686826e-04 4.888702047052760236e+02
1.047152671416163531e-04 4.915819833839661328e+02
1.053200982628860291e-04 4.943087875296953939e+02
1.059284228640965011e-04 4.970507001724017186e+02
1.065402611234457487e-04 4.998078047988709613e+02
1.071556333356801782e-04 5.025801853552466696e+02
1.077745599127678312e-04 5.053679262495357989e+02
1.083970613845754410e-04 5.081711123541404618e+02
1.090231583995494207e-04 5.109898290083920074e+02
1.096528717254007803e-04 5.138241620211165355e+02
1.102862222497939207e-04 5.166741976731766499e+02
1.109232309810396556e-04 5.195400227200819927e+02
1.115639190487918383e-04 5.224217243945720384e+02
1.122083077047483936e-04 5.253193904092194089e+02
1.128564183233562117e-04 5.282331089281581171e+02
1.135082724025200402e-04 5.311629684463595140e+02
1.141638915643157265e-04 5.341090578948129632e+02
1.148232975557073363e-04 5.370714666897084726e+02
1.154865122492684462e-04 5.400502847350384172e+02
1.161535576439078272e-04 5.430456024252325733e+02
1.168244558655989773e-04 5.460575106477896270e+02
1.174992291681141806e-04 5.490861007859288065e+02
1.181778999337625103e-04 5.521314647212584532e+02
1.188604906741324527e-04 5.551936948364442515e+02
1.195470240308384348e-04 5.582728840179134977e+02
1.202375227762719594e-04 5.613691256585501606e+02
1.209320098143569554e-04 5.644825136604284808e+02
1.216305081813094104e-04 5.676131424375321330e+02
1.223330410464016521e-04 5.707611069185197721e+02
1.230396317127307624e-04 5.739265025494778456e+02
1.237503036179914790e-04 5.771094252967016018e+02
1.244650803352537573e-04 5.803099716546224727e+02
1.251839855737447516e-04 5.835282386933897669e+02
1.259070431796349698e-04 5.867643240410898215e+02
1.266342771368295789e-04 5.900183258594463496e+02
1.273657115677636936e-04 5.932903428463993123e+02
1.281013707342027082e-04 5.965804742389977946e+02
1.288412790380469362e-04 5.998888198163112975e+02
1.295854610221410766e-04 6.032154799023451233e+02
1.303339413710883949e-04 6.065605553689956650e+02
1.310867449120692958e-04 6.099241476389944410e+02
1.318438966156650191e-04 6.133063586888750933e+02
1.326054215966858613e-04 6.167072910519774496e+02
1.333713451150043039e-04 6.201270478214255490e+02
1.341416925763926949e-04 6.235657326531737681e+02
1.349164895333661621e-04 6.270234497690204307e+02
1.356957616860301878e-04 6.305003039596630288e+02
1.364795348829328460e-04 6.339964005877698128e+02
1.372678351219225421e-04 6.375118455877855013e+02
1.380606885510101160e-04 6.410467453993244362e+02
1.388581214692362581e-04 6.446012069697851530e+02
1.396601603275438583e-04 6.481753378246628472e+02
1.404668317296553699e-04 6.517692460735565874e+02
1.412781624329552681e-04 6.553830404133407228e+02
1.420941793493775787e-04 6.590168301312440917e+02
1.429149095462986096e-04 6.626707251080549668e+02
1.437403802474346705e-04 6.663448358212408493e+02
1.445706188337451861e-04 6.700392733481760388e+02
1.454056528443408781e-04 6.737541493692964423e+02
1.462455099773972325e-04 6.774895761713546563e+02
1.470902180910733340e-04 6.812456666506432157e+02
1.479398052044357688e-04 6.850225343162320542e+02
1.487942994983881926e-04 6.888202932932534850e+02
1.496537293166059395e-04 6.926390583261733127e+02
